Date,Name,Year,id,original_title,imdb_id,original_language,overview,popularity,budget,genres,homepage,release_date,revenue,runtime,spoken_languages,vote_average,vote_count,production_companies,production_countries,spoken_languages_full
2022-03-31,Army of Shadows,1969,15383,L'Armée des ombres,tt0064040,fr,"Betrayed by an informant, Philippe Gerbier finds himself trapped in a torturous Nazi prison camp. Though Gerbier escapes to rejoin the Resistance in occupied Marseilles, France, and exacts his revenge on the informant, he must continue a quiet, seemingly endless battle against the Nazis in an atmosphere of tension, paranoia and distrust.",7.762,0,"War, Drama, Thriller",,1969-09-10,741766,145,"de, en, fr",7.947,496,"Fono Roma, Les Films Corona","FR, IT","German, English, French"
2022-04-20,Threads,1984,17835,Threads,tt0090163,en,"Documentary style account of a nuclear holocaust and its effect on the working class city of Sheffield, England; and the eventual long run effects of nuclear war on civilization.",12.889,420000,"War, Drama, Science Fiction",,1984-09-23,0,117,"en, ru",7.663,212,"BBC, Nine Network Australia, Western-World Television Inc.",GB,"English, Russian"
2022-04-20,Network,1976,10774,Network,tt0074958,en,"When veteran anchorman Howard Beale is forced to retire his 25-year post because of his age, he announces to viewers that he will kill himself during his farewell broadcast. Network executives rethink their decision when his fanatical tirade results in a spike in ratings.",15.576,3800000,Drama,,1976-11-14,23689877,122,en,7.862,1362,"Metro-Goldwyn-Mayer, United Artists",US,English
2022-04-20,Barry Lyndon,1975,3175,Barry Lyndon,tt0072684,en,"An Irish rogue uses his cunning and wit to work his way up the social classes of 18th century England, transforming himself from the humble Redmond Barry into the noble Barry Lyndon.",15.979,11000000,"Drama, Romance, War",,1975-11-26,198992,185,"de, fr, en",7.997,2316,"Hawk Films, Warner Bros. Pictures, Peregrine","GB, US","German, French, English"
2022-04-20,High and Low,1963,12493,天国と地獄,tt0057565,ja,An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.,11.781,250000,"Crime, Drama, Mystery, Thriller",,1963-03-01,0,142,ja,8.331,635,"Toho, Kurosawa Production",JP,Japanese
2022-04-21,Searching for Sugar Man,2012,84334,Searching for Sugar Man,tt2125608,en,"Two South Africans set out to discover what happened to their unlikely musical hero, the mysterious 1970s rock 'n' roller, Rodriguez. The film won Best Documentary at the 85th Academy Awards.",10.706,1000000,"Music, Documentary",http://www.sonyclassics.com/searchingforsugarman/,2012-06-30,3696196,85,en,7.845,757,"Passion Pictures, Red Box Films, Canfield Pictures","FI, ZA, SE, GB, US",English
2022-05-12,The Brood,1979,28942,The Brood,tt0078908,en,"A man tries to uncover an unconventional psychologist's therapy techniques on his institutionalized wife, while a series of brutal attacks committed by a brood of mutant children coincides with the husband's investigation.",12.343,1355000,"Horror, Science Fiction",,1979-05-25,5000000,92,en,6.718,554,"New World Pictures, Canadian Film Development Corporation (CFDC), Victor Solnicki Productions, Elgin International Films",CA,English
2022-05-12,Shivers,1975,27429,Shivers,tt0073705,en,"The residents of a suburban high-rise apartment building are being infected by a strain of parasites that turn them into mindless, sex-crazed fiends out to infect others by the slightest sexual contact.",10.345,179000,Horror,,1975-10-10,1000000,88,en,6.356,504,"Canadian Film Development Corporation (CFDC), Cinépix, DAL Productions",CA,English
2022-05-16,The 400 Blows,1959,147,Les Quatre Cents Coups,tt0053198,fr,"For young Parisian boy Antoine Doinel, life is one difficult situation after another. Surrounded by inconsiderate adults, including his neglectful parents, Antoine spends his days with his best friend, Rene, trying to plan for a better life. When one of their schemes goes awry, Antoine ends up in trouble with the law, leading to even more conflicts with unsympathetic authority figures.",12.161,0,Drama,,1959-06-03,0,99,"en, fr",8.085,1747,"Les Films du Carrosse, Sédif Productions",FR,"English, French"
2022-05-17,Body Double,1984,11507,Body Double,tt0086984,en,"After losing an acting role and his girlfriend, Jake Scully finally catches a break: he gets offered a gig house-sitting in the Hollywood Hills. While peering through the beautiful home's telescope one night, he spies a gorgeous woman dancing in her window. But when he witnesses the girl's murder, it leads Scully through the netherworld of the adult entertainment industry on a search for answers—with porn actress Holly Body as his guide.",12.51,10000000,"Crime, Mystery, Thriller",,1984-10-25,8801940,114,en,6.741,576,"Columbia Pictures, Delphi II Productions",US,English
